employeeID,FirstName,LastName,ManagerID,FullName,Email,Department,Region,Location,InactiveIdentity,JobTitle,CostCenter
1a,James,Smith,Null,James.Smith,James.Smith@demoexample.com,Executive Mangement,America,Austin,FALSE,Global Infrastructure manager,"R03, L07,L08"
1ab,John,Rich,1a,John.Rich,John.Rich@demoexample.com,operations,America,houston,FALSE,Database Engineer,"RO3,LO7"
1aa,Austin,Comb,1a,Austin.Comb,Austin.Comb@demoexample.com,accounting,America,texas,FALSE,Cybersecurity analyst,"RO3,LO8"
1abc,Robert,Miller,1a,Robert.Miller,Robert.Miller@demoexample.com,IT,America,san antonio,FALSE,iiq developer,"RO3,LO9"
1aaa,Willian,Jacob,1a2a,Willian.Jacob,Willian.Jacob@demoexample.com,Engineering,America,newyork,FALSE,finance analyst,"RO3,LO10"
1bbb,Edward,Jill,1a2a,Edward.Jill,Edward.Jill@demoexample.com,Finance,America,Austin,FALSE,Global Infrastructure manager,"RO3,LO11"
1ccc,Marry,Jackson,1a2b,Marry.Jackson,Marry.Jackson@demoexample.com,Executive Mangement,America,houston,FALSE,Database Engineer,"RO3,LO12"
1cba,David,Bran,1a2b,David.Bran,David.Bran@demoexample.com,operations,America,texas,FALSE,Cybersecurity analyst,"RO3,LO13"
1bac,Bryan,Allen,1a2b3c,Bryan.Allen,Bryan.Allen@demoexample.com,accounting,America,san antonio,FALSE,iiq developer,"RO3,LO14"
1bb,Cooker,Jim,1a2b3c,Cooker.Jim,Cooker.Jim@demoexample.com,IT,America,newyork,FALSE,finance analyst,"RO3,LO15"
